,time,Agent(0),Agent(1),Agent(2),Agent(3),Agent(4),Agent(5),Agent(6),Agent(7)
42,42.0,"(θ(4), ϕ), 33.3%, time=1.00 ","(θ(4), ϕ), 33.3%, time=1.00 ","(θ(4), ϕ), 33.3%, time=1.00 ","(θ(4), ϕ), 33.3%, time=1.00 ","(θ(4), ϕ), 33.3%, time=1.00 ","(θ(4), ϕ), 33.3%, time=0.00 ","(θ(4), ϕ), 33.3%, time=0.00 ","(θ(5), ϕ), 46.7%, time=9.00 [T]"
43,43.0,"(θ(5), ϕ), 33.3%, time=0.00 [T]","(θ(5), ϕ), 33.3%, time=0.00 [T]","(θ(5), ϕ), 33.3%, time=0.00 [T]","(θ(5), ϕ), 33.3%, time=0.00 [T]","(θ(5), ϕ), 33.3%, time=0.00 [T]","(θ(4), ϕ), 33.3%, time=1.00 ","(θ(4), ϕ), 33.3%, time=1.00 ","(θ(5), ϕ), 46.7%, time=10.00 [T]"
44,44.0,"(θ(5), ϕ), 33.3%, time=1.00 [T]","(θ(5), ϕ), 33.3%, time=1.00 [T]","(θ(5), ϕ), 33.3%, time=1.00 [T]","(θ(5), ϕ), 33.3%, time=1.00 [T]","(θ(5), ϕ), 33.3%, time=1.00 [T]","(θ(5), ϕ), 33.3%, time=0.00 [T]","(θ(5), ϕ), 33.3%, time=0.00 [T]","(θ(5), ϕ), 20.0%, time=0.00 "
45,45.0,"(θ(5), ϕ), 33.3%, time=2.00 [T]","(θ(5), ϕ), 33.3%, time=2.00 [T]","(θ(5), ϕ), 33.3%, time=2.00 [T]","(θ(5), ϕ), 33.3%, time=2.00 [T]","(θ(5), ϕ), 33.3%, time=2.00 [T]","(θ(5), ϕ), 33.3%, time=1.00 [T]","(θ(5), ϕ), 33.3%, time=1.00 [T]","(θ(5), ϕ), 20.0%, time=1.00 "
46,46.0,"(θ(5), ϕ), 33.3%, time=3.00 [T]","(θ(5), ϕ), 33.3%, time=3.00 [T]","(θ(5), ϕ), 33.3%, time=3.00 [T]","(θ(5), ϕ), 33.3%, time=3.00 [T]","(θ(5), ϕ), 33.3%, time=3.00 [T]","(θ(5), ϕ), 33.3%, time=2.00 [T]","(θ(5), ϕ), 33.3%, time=2.00 [T]","(C(7), c), 20.0%, time=0.00 [T]"
47,47.0,"(θ(5), ϕ), 33.3%, time=4.00 [T]","(θ(5), ϕ), 33.3%, time=4.00 [T]","(θ(5), ϕ), 33.3%, time=4.00 [T]","(θ(5), ϕ), 33.3%, time=4.00 [T]","(θ(5), ϕ), 33.3%, time=4.00 [T]","(θ(5), ϕ), 33.3%, time=3.00 [T]","(θ(5), ϕ), 33.3%, time=3.00 [T]","(C(7), c), 20.0%, time=1.00 [T]"
48,48.0,"(θ(5), ϕ), 33.3%, time=5.00 [T]","(θ(5), ϕ), 33.3%, time=5.00 [T]","(θ(5), ϕ), 33.3%, time=5.00 [T]","(θ(5), ϕ), 33.3%, time=5.00 [T]","(θ(5), ϕ), 33.3%, time=5.00 [T]","(θ(5), ϕ), 33.3%, time=4.00 [T]","(θ(5), ϕ), 33.3%, time=4.00 [T]","(C(7), c), 20.0%, time=2.00 [T]"
49,49.0,"(θ(5), ϕ), 33.3%, time=6.00 [T]","(θ(5), ϕ), 33.3%, time=6.00 [T]","(θ(5), ϕ), 33.3%, time=6.00 [T]","(θ(5), ϕ), 33.3%, time=6.00 [T]","(θ(5), ϕ), 33.3%, time=6.00 [T]","(θ(5), ϕ), 33.3%, time=5.00 [T]","(θ(5), ϕ), 33.3%, time=5.00 [T]","(C(7), c), 20.0%, time=3.00 [T]"
50,50.0,"(θ(5), ϕ), 33.3%, time=7.00 [T]","(θ(5), ϕ), 33.3%, time=7.00 [T]","(θ(5), ϕ), 33.3%, time=7.00 [T]","(θ(5), ϕ), 33.3%, time=7.00 [T]","(θ(5), ϕ), 33.3%, time=7.00 [T]","(θ(5), ϕ), 33.3%, time=6.00 [T]","(θ(5), ϕ), 33.3%, time=6.00 [T]","(C(7), c), 20.0%, time=4.00 [T]"
51,51.0,"(θ(5), ϕ), 33.3%, time=8.00 [T]","(θ(5), ϕ), 33.3%, time=8.00 [T]","(θ(5), ϕ), 33.3%, time=8.00 [T]","(θ(5), ϕ), 33.3%, time=8.00 [T]","(θ(5), ϕ), 33.3%, time=8.00 [T]","(θ(5), ϕ), 33.3%, time=7.00 [T]","(θ(5), ϕ), 33.3%, time=7.00 [T]","(C(7), c), 20.0%, time=5.00 [T]"
52,52.0,"(θ(5), ϕ), 33.3%, time=9.00 [T]","(θ(5), ϕ), 33.3%, time=9.00 [T]","(θ(5), ϕ), 33.3%, time=9.00 [T]","(θ(5), ϕ), 33.3%, time=9.00 [T]","(θ(5), ϕ), 33.3%, time=9.00 [T]","(θ(5), ϕ), 33.3%, time=8.00 [T]","(θ(5), ϕ), 33.3%, time=8.00 [T]","(C(7), c), 20.0%, time=6.00 [T]"
53,53.0,"(θ(5), ϕ), 33.3%, time=10.00 [T]","(θ(5), ϕ), 33.3%, time=10.00 [T]","(θ(5), ϕ), 33.3%, time=10.00 [T]","(θ(5), ϕ), 33.3%, time=10.00 [T]","(θ(5), ϕ), 33.3%, time=10.00 [T]","(θ(5), ϕ), 33.3%, time=9.00 [T]","(θ(5), ϕ), 33.3%, time=9.00 [T]","(C(7), c), 20.0%, time=7.00 [T]"
54,54.0,"(θ(5), ϕ), 6.7%, time=0.00 ","(θ(5), ϕ), 6.7%, time=0.00 ","(θ(5), ϕ), 6.7%, time=0.00 ","(θ(5), ϕ), 6.7%, time=0.00 ","(θ(5), ϕ), 6.7%, time=0.00 ","(θ(5), ϕ), 33.3%, time=10.00 [T]","(θ(5), ϕ), 33.3%, time=10.00 [T]","(C(7), c), 20.0%, time=8.00 [T]"
55,55.0,"(θ(5), ϕ), 6.7%, time=1.00 ","(θ(5), ϕ), 6.7%, time=1.00 ","(θ(5), ϕ), 6.7%, time=1.00 ","(θ(5), ϕ), 6.7%, time=1.00 ","(θ(5), ϕ), 6.7%, time=1.00 ","(θ(5), ϕ), 6.7%, time=0.00 ","(θ(5), ϕ), 6.7%, time=0.00 ","(C(7), c), 20.0%, time=9.00 [T]"
56,56.0,"(C(7), c), 6.7%, time=0.00 [T]","(C(7), c), 6.7%, time=0.00 [T]","(C(7), c), 6.7%, time=0.00 [T]","(C(7), c), 6.7%, time=0.00 [T]","(C(7), c), 6.7%, time=0.00 [T]","(θ(5), ϕ), 6.7%, time=1.00 ","(θ(5), ϕ), 6.7%, time=1.00 ","(C(7), c), 20.0%, time=10.00 [T]"
57,57.0,"(C(7), c), 6.7%, time=1.00 [T]","(C(7), c), 6.7%, time=1.00 [T]","(C(7), c), 6.7%, time=1.00 [T]","(C(7), c), 6.7%, time=1.00 [T]","(C(7), c), 6.7%, time=1.00 [T]","(C(7), c), 6.7%, time=0.00 [T]","(C(7), c), 6.7%, time=0.00 [T]","(C(7), c), -6.7%, time=0.00 "
58,58.0,"(C(7), c), 6.7%, time=2.00 [T]","(C(7), c), 6.7%, time=2.00 [T]","(C(7), c), 6.7%, time=2.00 [T]","(C(7), c), 6.7%, time=2.00 [T]","(C(7), c), 6.7%, time=2.00 [T]","(C(7), c), 6.7%, time=1.00 [T]","(C(7), c), 6.7%, time=1.00 [T]","(C(7), c), -6.7%, time=1.00 "
59,59.0,"(C(7), c), 6.7%, time=3.00 [T]","(C(7), c), 6.7%, time=3.00 [T]","(C(7), c), 6.7%, time=3.00 [T]","(C(7), c), 6.7%, time=3.00 [T]","(C(7), c), 6.7%, time=3.00 [T]","(C(7), c), 6.7%, time=2.00 [T]","(C(7), c), 6.7%, time=2.00 [T]","(X(6), x), -6.7%, time=0.00 [T]"
60,60.0,"(C(7), c), 6.7%, time=4.00 [T]","(C(7), c), 6.7%, time=4.00 [T]","(C(7), c), 6.7%, time=4.00 [T]","(C(7), c), 6.7%, time=4.00 [T]","(C(7), c), 6.7%, time=4.00 [T]","(C(7), c), 6.7%, time=3.00 [T]","(C(7), c), 6.7%, time=3.00 [T]","(X(6), x), -6.7%, time=1.00 [T]"
61,61.0,"(C(7), c), 6.7%, time=5.00 [T]","(C(7), c), 6.7%, time=5.00 [T]","(C(7), c), 6.7%, time=5.00 [T]","(C(7), c), 6.7%, time=5.00 [T]","(C(7), c), 6.7%, time=5.00 [T]","(C(7), c), 6.7%, time=4.00 [T]","(C(7), c), 6.7%, time=4.00 [T]","(X(6), x), -6.7%, time=2.00 [T]"
62,62.0,"(C(7), c), 6.7%, time=6.00 [T]","(C(7), c), 6.7%, time=6.00 [T]","(C(7), c), 6.7%, time=6.00 [T]","(C(7), c), 6.7%, time=6.00 [T]","(C(7), c), 6.7%, time=6.00 [T]","(C(7), c), 6.7%, time=5.00 [T]","(C(7), c), 6.7%, time=5.00 [T]","(X(6), x), -6.7%, time=3.00 [T]"
63,63.0,"(C(7), c), 6.7%, time=7.00 [T]","(C(7), c), 6.7%, time=7.00 [T]","(C(7), c), 6.7%, time=7.00 [T]","(C(7), c), 6.7%, time=7.00 [T]","(C(7), c), 6.7%, time=7.00 [T]","(C(7), c), 6.7%, time=6.00 [T]","(C(7), c), 6.7%, time=6.00 [T]","(X(6), x), -20.0%, time=0.00 "
64,64.0,"(C(7), c), 6.7%, time=8.00 [T]","(C(7), c), 6.7%, time=8.00 [T]","(C(7), c), 6.7%, time=8.00 [T]","(C(7), c), 6.7%, time=8.00 [T]","(C(7), c), 6.7%, time=8.00 [T]","(C(7), c), 6.7%, time=7.00 [T]","(C(7), c), 6.7%, time=7.00 [T]","(X(6), x), -20.0%, time=1.00 "
65,65.0,"(C(7), c), 6.7%, time=9.00 [T]","(C(7), c), 6.7%, time=9.00 [T]","(C(7), c), 6.7%, time=9.00 [T]","(C(7), c), 6.7%, time=9.00 [T]","(C(7), c), 6.7%, time=9.00 [T]","(C(7), c), 6.7%, time=8.00 [T]","(C(7), c), 6.7%, time=8.00 [T]","(θ(5), ϕ), -20.0%, time=0.00 [T]"
66,66.0,"(C(7), c), 6.7%, time=10.00 [T]","(C(7), c), 6.7%, time=10.00 [T]","(C(7), c), 6.7%, time=10.00 [T]","(C(7), c), 6.7%, time=10.00 [T]","(C(7), c), 6.7%, time=10.00 [T]","(C(7), c), 6.7%, time=9.00 [T]","(C(7), c), 6.7%, time=9.00 [T]","(θ(5), ϕ), -20.0%, time=1.00 [T]"
