,time,Agent(0),Agent(1),Agent(2),Agent(3),Agent(4),Agent(5),Agent(6),Agent(7)
133,133.0,"(θ(0), ϕ), -146.7%, time=1.00 [T]","(θ(0), ϕ), -146.7%, time=1.00 [T]","(θ(0), ϕ), -146.7%, time=1.00 [T]","(θ(0), ϕ), -146.7%, time=1.00 [T]","(θ(0), ϕ), -146.7%, time=1.00 [T]","(θ(0), ϕ), -146.7%, time=0.00 [T]","(θ(0), ϕ), -146.7%, time=0.00 [T]","(θ(0), ϕ), -160.0%, time=0.00 "
134,134.0,"(θ(0), ϕ), -146.7%, time=2.00 [T]","(θ(0), ϕ), -146.7%, time=2.00 [T]","(θ(0), ϕ), -146.7%, time=2.00 [T]","(θ(0), ϕ), -146.7%, time=2.00 [T]","(θ(0), ϕ), -146.7%, time=2.00 [T]","(θ(0), ϕ), -146.7%, time=1.00 [T]","(θ(0), ϕ), -146.7%, time=1.00 [T]","(θ(0), ϕ), -160.0%, time=1.00 "
135,135.0,"(θ(0), ϕ), -146.7%, time=3.00 [T]","(θ(0), ϕ), -146.7%, time=3.00 [T]","(θ(0), ϕ), -146.7%, time=3.00 [T]","(θ(0), ϕ), -146.7%, time=3.00 [T]","(θ(0), ϕ), -146.7%, time=3.00 [T]","(θ(0), ϕ), -146.7%, time=2.00 [T]","(θ(0), ϕ), -146.7%, time=2.00 [T]","(θ(0), ϕ), -160.0%, time=0.00 [D]"
136,136.0,"(θ(0), ϕ), -146.7%, time=4.00 [T]","(θ(0), ϕ), -146.7%, time=4.00 [T]","(θ(0), ϕ), -146.7%, time=4.00 [T]","(θ(0), ϕ), -146.7%, time=4.00 [T]","(θ(0), ϕ), -146.7%, time=4.00 [T]","(θ(0), ϕ), -146.7%, time=3.00 [T]","(θ(0), ϕ), -146.7%, time=3.00 [T]","(θ(0), ϕ), -160.0%, time=1.00 [D]"
137,137.0,"(θ(0), ϕ), -146.7%, time=5.00 [T]","(θ(0), ϕ), -146.7%, time=5.00 [T]","(θ(0), ϕ), -146.7%, time=5.00 [T]","(θ(0), ϕ), -146.7%, time=5.00 [T]","(θ(0), ϕ), -146.7%, time=5.00 [T]","(θ(0), ϕ), -146.7%, time=4.00 [T]","(θ(0), ϕ), -146.7%, time=4.00 [T]","(θ(0), ϕ), -160.0%, time=2.00 [D]"
138,138.0,"(θ(0), ϕ), -146.7%, time=6.00 [T]","(θ(0), ϕ), -146.7%, time=6.00 [T]","(θ(0), ϕ), -146.7%, time=6.00 [T]","(θ(0), ϕ), -146.7%, time=6.00 [T]","(θ(0), ϕ), -146.7%, time=6.00 [T]","(θ(0), ϕ), -146.7%, time=5.00 [T]","(θ(0), ϕ), -146.7%, time=5.00 [T]","(θ(0), ϕ), -160.0%, time=3.00 [D]"
139,139.0,"(θ(0), ϕ), -146.7%, time=7.00 [T]","(θ(0), ϕ), -146.7%, time=7.00 [T]","(θ(0), ϕ), -146.7%, time=7.00 [T]","(θ(0), ϕ), -146.7%, time=7.00 [T]","(θ(0), ϕ), -146.7%, time=7.00 [T]","(θ(0), ϕ), -146.7%, time=6.00 [T]","(θ(0), ϕ), -146.7%, time=6.00 [T]","(θ(0), ϕ), -160.0%, time=4.00 [D]"
140,140.0,"(θ(0), ϕ), -146.7%, time=8.00 [T]","(θ(0), ϕ), -146.7%, time=8.00 [T]","(θ(0), ϕ), -146.7%, time=8.00 [T]","(θ(0), ϕ), -146.7%, time=8.00 [T]","(θ(0), ϕ), -146.7%, time=8.00 [T]","(θ(0), ϕ), -146.7%, time=7.00 [T]","(θ(0), ϕ), -146.7%, time=7.00 [T]","(θ(0), ϕ), -160.0%, time=5.00 [D]"
141,141.0,"(θ(0), ϕ), -146.7%, time=9.00 [T]","(θ(0), ϕ), -146.7%, time=9.00 [T]","(θ(0), ϕ), -146.7%, time=9.00 [T]","(θ(0), ϕ), -146.7%, time=9.00 [T]","(θ(0), ϕ), -146.7%, time=9.00 [T]","(θ(0), ϕ), -146.7%, time=8.00 [T]","(θ(0), ϕ), -146.7%, time=8.00 [T]","(θ(0), ϕ), -160.0%, time=6.00 [D]"
142,142.0,"(θ(0), ϕ), -146.7%, time=10.00 [T]","(θ(0), ϕ), -146.7%, time=10.00 [T]","(θ(0), ϕ), -146.7%, time=10.00 [T]","(θ(0), ϕ), -146.7%, time=10.00 [T]","(θ(0), ϕ), -146.7%, time=10.00 [T]","(θ(0), ϕ), -146.7%, time=9.00 [T]","(θ(0), ϕ), -146.7%, time=9.00 [T]","(θ(0), ϕ), -160.0%, time=7.00 [D]"
143,143.0,"(θ(0), ϕ), -173.3%, time=0.00 ","(θ(0), ϕ), -173.3%, time=0.00 ","(θ(0), ϕ), -173.3%, time=0.00 ","(θ(0), ϕ), -173.3%, time=0.00 ","(θ(0), ϕ), -173.3%, time=0.00 ","(θ(0), ϕ), -146.7%, time=10.00 [T]","(θ(0), ϕ), -146.7%, time=10.00 [T]","(θ(0), ϕ), -160.0%, time=8.00 [D]"
144,144.0,"(θ(0), ϕ), -173.3%, time=1.00 ","(θ(0), ϕ), -173.3%, time=1.00 ","(θ(0), ϕ), -173.3%, time=1.00 ","(θ(0), ϕ), -173.3%, time=1.00 ","(θ(0), ϕ), -173.3%, time=1.00 ","(θ(0), ϕ), -173.3%, time=0.00 ","(θ(0), ϕ), -173.3%, time=0.00 ","(θ(0), ϕ), -160.0%, time=9.00 [D]"
145,145.0,"(θ(0), ϕ), -173.3%, time=0.00 [D]","(θ(0), ϕ), -173.3%, time=0.00 [D]","(θ(0), ϕ), -173.3%, time=0.00 [D]","(θ(0), ϕ), -173.3%, time=0.00 [D]","(θ(0), ϕ), -173.3%, time=0.00 [D]","(θ(0), ϕ), -173.3%, time=1.00 ","(θ(0), ϕ), -173.3%, time=1.00 ","(θ(0), ϕ), -160.0%, time=10.00 [D]"
146,146.0,"(θ(0), ϕ), -173.3%, time=1.00 [D]","(θ(0), ϕ), -173.3%, time=1.00 [D]","(θ(0), ϕ), -173.3%, time=1.00 [D]","(θ(0), ϕ), -173.3%, time=1.00 [D]","(θ(0), ϕ), -173.3%, time=1.00 [D]","(θ(0), ϕ), -173.3%, time=0.00 [D]","(θ(0), ϕ), -173.3%, time=0.00 [D]","(θ(0), ϕ), -160.0%, time=11.00 [D]"
147,147.0,"(θ(0), ϕ), -173.3%, time=2.00 [D]","(θ(0), ϕ), -173.3%, time=2.00 [D]","(θ(0), ϕ), -173.3%, time=2.00 [D]","(θ(0), ϕ), -173.3%, time=2.00 [D]","(θ(0), ϕ), -173.3%, time=2.00 [D]","(θ(0), ϕ), -173.3%, time=1.00 [D]","(θ(0), ϕ), -173.3%, time=1.00 [D]","(θ(0), ϕ), -160.0%, time=12.00 [D]"
